,0
-12,-0.08578976615787089
-11,-0.07104953641174135
-10,-0.1026882554946854
-9,-0.08421101381339331
-8,-0.09896481606585085
-7,-0.046304471249590445
-6,-0.048456247072770804
-5,0.0023387318554815855
-4,-0.03345958619555005
-3,-0.01774039425463519
-2,-0.024328450744198166
0,-0.024790487415591582
1,-0.06849283375550065
2,-0.1508824002859364
3,-0.1392348507840748
4,-0.20235135083482003
5,-0.1912287867876966
6,-0.19632399243579102
7,-0.21155189761856463
8,-0.2252154055349709
9,-0.2933018270145365
10,-0.327146768590069
11,-0.34006950864199265
12,-0.3014652980285957
