tag,pre_slope,n_pre_weeks,slope_q
.net,-0.00033939122276078576,152,4
.net-core,-0.006969883390183873,152,1
ajax,-0.008260933645776831,152,1
algorithm,-0.0034174086154615496,152,2
amazon-web-services,-0.0021091573443877986,152,4
android,-0.005437465906311562,152,1
android-studio,-0.004713991419219822,152,2
angular,-0.006276222581956325,152,1
apache-spark,-0.004007754759752686,152,2
arrays,-0.0033620394244137275,152,2
asp.net,-0.004244773972147251,152,2
asp.net-core,-0.005192245103691922,152,1
asp.net-mvc,-0.006729582437306526,152,1
azure,-0.0020195279383441412,152,4
bash,-0.0023266310746323897,152,3
c,-0.003298717832075916,152,3
c#,-0.0033440935152149677,152,3
c++,-0.0040676077597596345,152,2
css,-0.003033597043543637,152,3
csv,-0.0030908243578785266,152,3
dart,0.001325666176582468,152,4
database,-0.003914277155763818,152,2
dataframe,0.0006246936769319399,152,4
dictionary,-0.0017271438566389514,152,4
django,-0.004110014096157744,152,2
docker,-0.0020135873777382186,152,4
excel,-0.002843410493597923,152,3
express,-0.0033098339146793733,152,3
firebase,-0.004074425064734768,152,2
flask,-0.006789023877202357,152,1
flutter,0.0007793075348955399,152,4
for-loop,-0.0019276703028537402,152,4
function,-0.002496943025437428,152,3
ggplot2,-0.001876651649545552,152,4
git,-0.003945173796807736,152,2
go,0.000480528130530642,152,4
google-apps-script,-0.001917091133793489,152,4
google-cloud-firestore,-0.0036427768742661264,152,2
google-cloud-platform,-0.0014630871371508127,152,4
google-sheets,-0.0002115996970883501,152,4
html,-0.003861196152288326,152,2
ios,-0.006484688100089103,152,1
java,-0.005477766458070125,152,1
javascript,-0.0033335542389991615,152,3
jquery,-0.0082797068227983,152,1
json,-0.00350480353976891,152,2
keras,-0.008182384865423468,152,1
kotlin,-0.0005719521967745526,152,4
kubernetes,-0.002658999153171687,152,3
laravel,-0.005132982556216839,152,1
linux,-0.002977783054980356,152,3
list,-0.0020463499946503667,152,4
loops,-0.0025196609622232372,152,3
machine-learning,-0.005935373928751657,152,1
macos,-0.0046733568604173355,152,2
matplotlib,-0.0043525419468209495,152,2
mongodb,-0.002985212172424631,152,3
multithreading,-0.003944674739591515,152,2
mysql,-0.004981391644947429,152,1
node.js,-0.0034107978680587344,152,2
numpy,-0.002914197438454361,152,3
opencv,-0.0046101958588084455,152,2
oracle-database,-0.004630965755659105,152,2
pandas,-0.0015089949783397916,152,4
php,-0.005733079920589434,152,1
postgresql,-0.0015083350332284994,152,4
powershell,-0.0013698944405590623,152,4
python,-0.0021752249393025154,152,3
python-3.x,-0.007058450692097899,152,1
r,-0.0024154362383747917,152,3
react-native,-0.003275299152894793,152,3
reactjs,-0.000759680034525067,152,4
regex,-0.005333136142636832,152,1
rest,-0.004764376867671817,152,1
ruby,-0.004096483143101686,152,2
ruby-on-rails,-0.005005712903766795,152,1
scala,-0.007076162629416364,152,1
selenium,-0.0025295578156891347,152,3
shell,-0.002971219626105362,152,3
spring,-0.0041475466032141394,152,2
spring-boot,-0.0028088125521773507,152,3
sql,-0.003216784098104968,152,3
sql-server,-0.004892251688664947,152,1
string,-0.003159611060938532,152,3
swift,-0.006222829328983078,152,1
swiftui,-0.0016924204346023357,152,4
tensorflow,-0.006631173776869242,152,1
tkinter,-0.0025370527698306256,152,3
typescript,7.50630244534807e-05,152,4
unity-game-engine,-4.1262379178047615e-05,152,4
vba,-0.004279049737413687,152,2
visual-studio,-0.0032720525432056937,152,3
visual-studio-code,0.0011492551777366987,152,4
vue.js,-0.004679991190034496,152,2
web-scraping,-0.002159634896447734,152,4
windows,-0.00309070248059432,152,3
wordpress,-0.004372432658252986,152,2
wpf,-0.005457607360307232,152,1
xcode,-0.00602124900744142,152,1
xml,-0.004577328978132698,152,2
