tag,n_raw_json_files,n_question_tag_rows_2025,n_unique_questions_2025,n_weeks_observed_2025,first_observed_date,last_observed_date,missing_weeks,failed_windows,page_cap_hit,suspicious_flag,status
.net,18,1752,1752,53,2025-01-01 00:35:37,2025-12-30 22:59:53,,0,0,,ok
.net-core,5,428,428,52,2025-01-01 06:10:34,2025-12-28 08:11:13,2025-12-29,0,0,missing_observed_weeks,ok
ajax,16,123,123,41,2025-01-04 02:14:29,2025-11-13 02:33:04,2025-04-28;2025-07-14;2025-08-25;2025-09-01;2025-10-27;2025-11-17;2025-11-24;2025-12-01;2025-12-08;2025-12-15;2025-12-22;2025-12-29,0,0,missing_observed_weeks,ok
algorithm,5,414,414,51,2025-01-01 22:17:56,2025-12-31 09:38:09,2025-07-21;2025-10-06,0,0,missing_observed_weeks,ok
amazon-web-services,12,1183,1183,53,2025-01-01 15:43:14,2025-12-31 07:54:52,,0,0,,ok
android,46,4552,4552,53,2025-01-01 00:56:14,2025-12-31 11:48:30,,0,0,,ok
android-studio,5,484,484,53,2025-01-01 13:22:37,2025-12-30 17:59:23,,0,0,,ok
angular,22,2121,2121,53,2025-01-01 00:54:44,2025-12-31 21:00:37,,0,0,,ok
apache-spark,5,447,447,52,2025-01-01 18:37:11,2025-12-25 12:03:25,2025-12-29,0,0,missing_observed_weeks,ok
arrays,8,703,703,53,2025-01-01 14:42:00,2025-12-31 03:23:49,,0,0,,ok
asp.net,4,392,392,53,2025-01-01 17:34:05,2025-12-31 15:40:18,,0,0,,ok
asp.net-core,12,1169,1169,53,2025-01-01 06:10:34,2025-12-29 06:06:31,,0,0,,ok
asp.net-mvc,2,148,148,51,2025-01-07 21:46:32,2025-12-31 15:40:18,2024-12-30;2025-11-24,0,0,missing_observed_weeks,ok
azure,24,2367,2367,53,2025-01-01 00:21:22,2025-12-30 16:05:54,,0,0,,ok
bash,6,568,568,52,2025-01-01 11:56:56,2025-12-31 21:46:36,2025-12-22,0,0,missing_observed_weeks,ok
c,22,2176,2176,53,2025-01-01 01:05:55,2025-12-31 21:56:45,,0,0,,ok
c#,60,5959,5959,53,2025-01-01 00:35:37,2025-12-31 16:24:49,,0,0,,ok
c++,48,4722,4722,53,2025-01-01 01:05:54,2025-12-31 23:10:48,,0,0,,ok
css,29,2819,2819,53,2025-01-01 02:23:57,2025-12-31 16:53:13,,0,0,,ok
csv,3,227,227,51,2025-01-02 17:16:17,2025-12-28 14:09:21,2025-08-25;2025-12-29,0,0,missing_observed_weeks,ok
dart,11,1017,1017,53,2025-01-01 00:56:14,2025-12-31 09:26:00,,0,0,,ok
database,5,431,431,52,2025-01-01 13:41:19,2025-12-31 03:36:36,2025-12-15,0,0,missing_observed_weeks,ok
dataframe,9,809,809,53,2025-01-01 19:42:00,2025-12-31 13:46:20,,0,0,,ok
dictionary,2,151,151,48,2025-01-02 01:38:29,2025-12-29 08:41:27,2025-05-05;2025-07-28;2025-08-18;2025-09-22;2025-10-06,0,0,missing_observed_weeks,ok
django,10,998,998,53,2025-01-01 01:02:18,2025-12-31 16:00:40,,0,0,,ok
docker,19,945,945,48,2025-01-01 01:09:31,2025-12-31 21:16:04,2025-01-20;2025-02-17;2025-03-17;2025-03-24;2025-04-21,0,0,missing_observed_weeks,ok
excel,20,1915,1915,53,2025-01-01 01:08:54,2025-12-31 00:26:00,,0,0,,ok
express,4,358,358,53,2025-01-01 07:10:20,2025-12-31 17:03:09,,0,0,,ok
firebase,9,806,806,53,2025-01-01 10:46:25,2025-12-30 10:32:01,,0,0,,ok
