tag,raw_folder_exists,n_json_files,first_json_file,last_json_file,manifest_status_if_available,failed_windows_if_available,page_cap_hit_if_available,status
.net,True,18,dotnet_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,dotnet_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page018.json,complete:1,0,0,ok_raw_present
.net-core,True,5,dotnet-core_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,dotnet-core_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page005.json,complete:1,0,0,ok_raw_present
ajax,True,16,ajax_2025-01-01T00-00-00Z_2025-02-01T00-00-00Z_page001.json,ajax_2025-12-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,complete:17,0,0,ok_raw_present
algorithm,True,5,algorithm_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,algorithm_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page005.json,complete:1,0,0,ok_raw_present
amazon-web-services,True,12,amazon-web-services_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,amazon-web-services_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page012.json,complete:1,0,0,ok_raw_present
android,True,46,android_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,android_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page046.json,complete:1,0,0,ok_raw_present
android-studio,True,5,android-studio_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,android-studio_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page005.json,complete:1,0,0,ok_raw_present
angular,True,22,angular_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,angular_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page022.json,complete:1,0,0,ok_raw_present
apache-spark,True,5,apache-spark_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,apache-spark_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page005.json,complete:1,0,0,ok_raw_present
arrays,True,8,arrays_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,arrays_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page008.json,complete:1,0,0,ok_raw_present
asp.net,True,4,aspdotnet_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,aspdotnet_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page004.json,complete:1,0,0,ok_raw_present
asp.net-core,True,12,aspdotnet-core_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,aspdotnet-core_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page012.json,complete:1,0,0,ok_raw_present
asp.net-mvc,True,2,aspdotnet-mvc_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,aspdotnet-mvc_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page002.json,complete:1,0,0,ok_raw_present
azure,True,24,azure_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page001.json,azure_2025-01-01T00-00-00Z_2026-01-01T00-00-00Z_page024.json,complete:1,0,0,ok_raw_present
