tag,n_json_files,n_valid_json_files,n_invalid_json_files,n_empty_json_files,manifest_rows,manifest_completed_windows,manifest_failed_windows,page_cap_hit,quota_stop_flag_if_available,raw_status
.net,18,18,0,0,1,1,0,0,0,ok
.net-core,5,5,0,0,1,1,0,0,0,ok
ajax,16,16,0,0,17,17,0,0,0,ok
algorithm,5,5,0,0,1,1,0,0,0,ok
amazon-web-services,12,12,0,0,1,1,0,0,0,ok
android,46,46,0,0,1,1,0,0,0,ok
android-studio,5,5,0,0,1,1,0,0,0,ok
angular,22,22,0,0,1,1,0,0,0,ok
apache-spark,5,5,0,0,1,1,0,0,0,ok
arrays,8,8,0,0,1,1,0,0,0,ok
asp.net,4,4,0,0,1,1,0,0,0,ok
asp.net-core,12,12,0,0,1,1,0,0,0,ok
asp.net-mvc,2,2,0,0,1,1,0,0,0,ok
azure,24,24,0,0,1,1,0,0,0,ok
bash,6,6,0,0,1,1,0,0,0,ok
c,22,22,0,0,1,1,0,0,0,ok
c#,60,60,0,0,1,1,0,0,0,ok
c++,48,48,0,0,1,1,0,0,0,ok
css,29,29,0,0,1,1,0,0,0,ok
csv,3,3,0,0,1,1,0,0,0,ok
dart,11,11,0,0,1,1,0,0,0,ok
database,5,5,0,0,1,1,0,0,0,ok
dataframe,9,9,0,0,1,1,0,0,0,ok
dictionary,2,2,0,0,1,1,0,0,0,ok
django,10,10,0,0,1,1,0,0,0,ok
docker,19,19,0,0,17,17,0,0,0,ok
excel,20,20,0,0,1,1,0,0,0,ok
express,4,4,0,0,1,1,0,0,0,ok
firebase,9,9,0,0,1,1,0,0,0,ok
flask,4,4,0,0,1,1,0,0,0,ok
flutter,31,31,0,0,1,1,0,0,0,ok
for-loop,2,2,0,0,1,1,0,0,0,ok
function,3,3,0,0,1,1,0,0,0,ok
ggplot2,6,6,0,0,1,1,0,0,0,ok
git,10,10,0,0,1,1,0,0,0,ok
go,7,7,0,0,1,1,0,0,0,ok
google-apps-script,5,5,0,0,1,1,0,0,0,ok
google-cloud-firestore,3,3,0,0,1,1,0,0,0,ok
google-cloud-platform,8,8,0,0,1,1,0,0,0,ok
google-sheets,7,7,0,0,1,1,0,0,0,ok
html,31,31,0,0,1,1,0,0,0,ok
ios,26,26,0,0,1,1,0,0,0,ok
java,58,58,0,0,1,1,0,0,0,ok
javascript,63,63,0,0,1,1,0,0,0,ok
jquery,5,5,0,0,1,1,0,0,0,ok
json,9,9,0,0,1,1,0,0,0,ok
keras,2,2,0,0,1,1,0,0,0,ok
kotlin,18,18,0,0,1,1,0,0,0,ok
kubernetes,5,5,0,0,1,1,0,0,0,ok
laravel,12,12,0,0,1,1,0,0,0,ok
linux,10,10,0,0,1,1,0,0,0,ok
list,3,3,0,0,1,1,0,0,0,ok
loops,17,17,0,0,17,17,0,0,0,ok
machine-learning,4,4,0,0,1,1,0,0,0,ok
macos,9,9,0,0,1,1,0,0,0,ok
matplotlib,5,5,0,0,1,1,0,0,0,ok
mongodb,5,5,0,0,1,1,0,0,0,ok
multithreading,6,6,0,0,1,1,0,0,0,ok
mysql,6,6,0,0,1,1,0,0,0,ok
node.js,21,21,0,0,1,1,0,0,0,ok
numpy,6,6,0,0,1,1,0,0,0,ok
opencv,17,17,0,0,17,17,0,0,0,ok
oracle-database,6,6,0,0,1,1,0,0,0,ok
pandas,11,11,0,0,1,1,0,0,0,ok
php,22,22,0,0,1,1,0,0,0,ok
postgresql,41,41,0,0,17,17,0,0,0,ok
powershell,12,12,0,0,1,1,0,0,0,ok
python,137,137,0,0,1,1,0,0,0,ok
python-3.x,10,10,0,0,1,1,0,0,0,ok
r,33,33,0,0,1,1,0,0,0,ok
react-native,19,19,0,0,1,1,0,0,0,ok
reactjs,33,33,0,0,1,1,0,0,0,ok
regex,5,5,0,0,1,1,0,0,0,ok
rest,4,4,0,0,1,1,0,0,0,ok
ruby,3,3,0,0,1,1,0,0,0,ok
ruby-on-rails,5,5,0,0,1,1,0,0,0,ok
scala,3,3,0,0,1,1,0,0,0,ok
selenium,17,17,0,0,5,5,0,0,0,ok
shell,3,3,0,0,1,1,0,0,0,ok
spring,13,13,0,0,1,1,0,0,0,ok
spring-boot,23,23,0,0,1,1,0,0,0,ok
sql,20,20,0,0,1,1,0,0,0,ok
sql-server,12,12,0,0,1,1,0,0,0,ok
string,4,4,0,0,1,1,0,0,0,ok
swift,20,20,0,0,1,1,0,0,0,ok
swiftui,16,16,0,0,1,1,0,0,0,ok
tensorflow,4,4,0,0,1,1,0,0,0,ok
tkinter,4,4,0,0,1,1,0,0,0,ok
typescript,31,31,0,0,1,1,0,0,0,ok
unity-game-engine,6,6,0,0,1,1,0,0,0,ok
vba,13,13,0,0,1,1,0,0,0,ok
visual-studio,8,8,0,0,1,1,0,0,0,ok
visual-studio-code,15,15,0,0,1,1,0,0,0,ok
vue.js,7,7,0,0,1,1,0,0,0,ok
web-scraping,3,3,0,0,1,1,0,0,0,ok
windows,14,14,0,0,1,1,0,0,0,ok
wordpress,7,7,0,0,1,1,0,0,0,ok
wpf,4,4,0,0,1,1,0,0,0,ok
xcode,6,6,0,0,1,1,0,0,0,ok
xml,6,6,0,0,1,1,0,0,0,ok
