tag,in_fixed_100_list,raw_folder_exists,in_manifest,in_clean_2025,in_panel_2020_2025,n_raw_json_files,n_clean_question_tag_rows_2025,n_unique_questions_2025,n_panel_rows_2025,first_observed_date_2025,last_observed_date_2025,status
.net,True,True,True,True,True,18,1752,1752,294,2025-01-01 00:35:37,2025-12-30 22:59:53,ok
.net-core,True,True,True,True,True,5,428,428,190,2025-01-01 06:10:34,2025-12-28 08:11:13,ok
ajax,True,True,True,True,True,16,123,123,74,2025-01-04 02:14:29,2025-11-13 02:33:04,ok
algorithm,True,True,True,True,True,5,414,414,163,2025-01-01 22:17:56,2025-12-31 09:38:09,ok
amazon-web-services,True,True,True,True,True,12,1183,1183,272,2025-01-01 15:43:14,2025-12-31 07:54:52,ok
android,True,True,True,True,True,46,4552,4552,330,2025-01-01 00:56:14,2025-12-31 11:48:30,ok
android-studio,True,True,True,True,True,5,484,484,219,2025-01-01 13:22:37,2025-12-30 17:59:23,ok
angular,True,True,True,True,True,22,2121,2121,295,2025-01-01 00:54:44,2025-12-31 21:00:37,ok
apache-spark,True,True,True,True,True,5,447,447,195,2025-01-01 18:37:11,2025-12-25 12:03:25,ok
arrays,True,True,True,True,True,8,703,703,198,2025-01-01 14:42:00,2025-12-31 03:23:49,ok
asp.net,True,True,True,True,True,4,392,392,179,2025-01-01 17:34:05,2025-12-31 15:40:18,ok
asp.net-core,True,True,True,True,True,12,1169,1169,255,2025-01-01 06:10:34,2025-12-29 06:06:31,ok
asp.net-mvc,True,True,True,True,True,2,148,148,98,2025-01-07 21:46:32,2025-12-31 15:40:18,ok
azure,True,True,True,True,True,24,2367,2367,292,2025-01-01 00:21:22,2025-12-30 16:05:54,ok
bash,True,True,True,True,True,6,568,568,187,2025-01-01 11:56:56,2025-12-31 21:46:36,ok
c,True,True,True,True,True,22,2176,2176,305,2025-01-01 01:05:55,2025-12-31 21:56:45,ok
c#,True,True,True,True,True,60,5959,5959,332,2025-01-01 00:35:37,2025-12-31 16:24:49,ok
c++,True,True,True,True,True,48,4722,4722,332,2025-01-01 01:05:54,2025-12-31 23:10:48,ok
css,True,True,True,True,True,29,2819,2819,264,2025-01-01 02:23:57,2025-12-31 16:53:13,ok
csv,True,True,True,True,True,3,227,227,127,2025-01-02 17:16:17,2025-12-28 14:09:21,ok
dart,True,True,True,True,True,11,1017,1017,250,2025-01-01 00:56:14,2025-12-31 09:26:00,ok
database,True,True,True,True,True,5,431,431,189,2025-01-01 13:41:19,2025-12-31 03:36:36,ok
dataframe,True,True,True,True,True,9,809,809,203,2025-01-01 19:42:00,2025-12-31 13:46:20,ok
dictionary,True,True,True,True,True,2,151,151,83,2025-01-02 01:38:29,2025-12-29 08:41:27,ok
django,True,True,True,True,True,10,998,998,223,2025-01-01 01:02:18,2025-12-31 16:00:40,ok
