week_start,questions,log_q,t,cf_questions,loss
2020-01-06,47251,10.763229096719098,0,,
2020-01-13,48110,10.7812453346935,1,,
2020-01-20,49531,10.810354015162442,2,,
2020-01-27,49727,10.814303324130014,3,,
2020-02-03,50781,10.835277547857206,4,,
2020-02-10,51111,10.841755017213652,5,,
2020-02-17,51420,10.84778248081988,6,,
2020-02-24,51754,10.854257002826525,7,,
2020-03-02,51704,10.853290426942731,8,,
2020-03-09,47881,10.776474045001011,9,,
2020-03-16,49139,10.802408295847755,10,,
2020-03-23,53149,10.880854568917648,11,,
2020-03-30,60001,11.002116507732017,12,,
2020-04-06,60218,11.005726589926587,13,,
2020-04-13,61754,11.030914029720199,14,,
2020-04-20,63418,11.05750301180195,15,,
2020-04-27,62345,11.040438755430687,16,,
2020-05-04,63706,11.062034028647275,17,,
2020-05-11,64303,11.07136156543594,18,,
2020-05-18,62789,11.047535177878451,19,,
2020-05-25,60579,11.011703577346932,20,,
2020-06-01,59424,10.992453464152433,21,,
2020-06-08,59002,10.985326620618407,22,,
2020-06-15,58385,10.974814286509815,23,,
2020-06-22,57138,10.9532246734221,24,,
2020-06-29,55133,10.917503726936127,25,,
2020-07-06,55388,10.922118242774605,26,,
2020-07-13,55497,10.924084244219499,27,,
2020-07-20,55443,10.923110744953865,28,,
2020-07-27,52828,10.874796632163696,29,,
2020-08-03,50203,10.82383006485038,30,,
2020-08-10,51007,10.839718157189832,31,,
2020-08-17,49535,10.81043476940713,32,,
2020-08-24,50558,10.830876471076316,33,,
2020-08-31,47668,10.772015592210696,34,,
2020-09-07,46027,10.736983459801367,35,,
2020-09-14,48497,10.78925721934233,36,,
2020-09-21,48671,10.792838649154332,37,,
2020-09-28,47163,10.761364965859624,38,,
2020-10-05,47821,10.775220152546073,39,,
2020-10-12,46941,10.756646772970168,40,,
2020-10-19,47401,10.766398604507042,41,,
2020-10-26,46592,10.749184131556358,42,,
2020-11-02,45176,10.718321251352673,43,,
2020-11-09,45759,10.731143772668043,44,,
2020-11-16,47846,10.775742798820527,45,,
2020-11-23,46174,10.74017214809227,46,,
2020-11-30,47675,10.77216243046862,47,,
2020-12-07,47562,10.76978940206521,48,,
2020-12-14,46485,10.746884958889959,49,,
2020-12-21,38412,10.556125189757863,50,,
2020-12-28,36768,10.512383180648483,51,,
2021-01-04,46391,10.744860753883362,52,,
2021-01-11,46884,10.75543174484307,53,,
2021-01-18,48832,10.79614111464413,54,,
2021-01-25,48050,10.779997414398439,55,,
2021-02-01,47890,10.776661993336655,56,,
2021-02-08,48066,10.780330345443172,57,,
2021-02-15,47404,10.766461892308339,58,,
2021-02-22,47534,10.769200523441311,59,,
2021-03-01,48574,10.790843687312167,60,,
2021-03-08,48386,10.786965794663733,61,,
2021-03-15,47674,10.772141454894674,62,,
2021-03-22,47895,10.776766393816992,63,,
2021-03-29,44401,10.70101727068921,64,,
2021-04-05,45958,10.735483214914881,65,,
2021-04-12,46273,10.742313916626546,66,,
2021-04-19,46343,10.743825534777388,67,,
2021-04-26,45893,10.734067878971876,68,,
2021-05-03,45102,10.716681870405523,69,,
2021-05-10,44382,10.700589260815923,70,,
2021-05-17,45615,10.727991888779576,71,,
2021-05-24,45077,10.716127417580799,72,,
2021-05-31,43522,10.681021836356239,73,,
2021-06-07,44090,10.693988278351984,74,,
2021-06-14,43734,10.685881110610268,75,,
2021-06-21,42499,10.657235825223923,76,,
2021-06-28,42161,10.649250902099034,77,,
2021-07-05,41072,10.623081903110922,78,,
2021-07-12,41832,10.641416875867966,79,,
2021-07-19,40524,10.609649670173567,80,,
2021-07-26,41215,10.626557546747328,81,,
2021-08-02,40545,10.610167747378657,82,,
2021-08-09,40006,10.596784721847198,83,,
2021-08-16,39574,10.585927615952386,84,,
2021-08-23,40901,10.61890979160975,85,,
2021-08-30,39986,10.596284671831778,86,,
2021-09-06,38419,10.556307407873451,87,,
2021-09-13,40804,10.61653539480241,88,,
2021-09-20,40223,10.602194250301306,89,,
2021-09-27,39585,10.586205537605535,90,,
2021-10-04,39088,10.573570793497522,91,,
2021-10-11,38829,10.566922669110548,92,,
2021-10-18,40250,10.60286528284671,93,,
2021-10-25,39853,10.592952963693447,94,,
2021-11-01,37803,10.540143743537802,95,,
2021-11-08,40103,10.59920642346389,96,,
2021-11-15,40437,10.60750048640638,97,,
2021-11-22,39362,10.580556162883383,98,,
2021-11-29,39552,10.585371540817363,99,,
2021-12-06,39249,10.577681245178987,100,,
2021-12-13,38156,10.549438298265098,101,,
2021-12-20,33261,10.412140818440461,102,,
2021-12-27,30375,10.32137518064285,103,,
2022-01-03,37401,10.529452721013085,104,,
2022-01-10,39293,10.578801664944281,105,,
2022-01-17,40158,10.600576952328698,106,,
2022-01-24,41206,10.626339155802404,107,,
2022-01-31,40523,10.609624993134318,108,,
2022-02-07,41028,10.622010039427302,109,,
2022-02-14,41311,10.62888408731157,110,,
2022-02-21,40587,10.61120309727147,111,,
2022-02-28,38610,10.561266589258283,112,,
2022-03-07,38455,10.557244005491155,113,,
2022-03-14,39489,10.583777431093518,114,,
2022-03-21,39736,10.590012856787187,115,,
2022-03-28,40040,10.597634233429156,116,,
2022-04-04,40336,10.6049996494277,117,,
2022-04-11,38020,10.54586761604242,118,,
2022-04-18,37885,10.542310534365473,119,,
2022-04-25,39310,10.579234218415905,120,,
2022-05-02,36724,10.511185771263591,121,,
2022-05-09,38150,10.549281036712603,122,,
2022-05-16,39016,10.57172709738989,123,,
2022-05-23,37710,10.537680590252403,124,,
2022-05-30,36649,10.509141421812947,125,,
2022-06-06,36804,10.513361813902252,126,,
2022-06-13,37238,10.525085024255997,127,,
2022-06-20,36931,10.516806585736159,128,,
2022-06-27,36833,10.51414946145713,129,,
2022-07-04,36069,10.49318904964302,130,,
2022-07-11,36444,10.50353211483375,131,,
2022-07-18,37878,10.54212574759568,132,,
2022-07-25,37136,10.522342128514218,133,,
2022-08-01,36684,10.510095971678835,134,,
2022-08-08,36969,10.517835002606233,135,,
2022-08-15,35424,10.475144835508363,136,,
2022-08-22,36182,10.496317036581207,137,,
2022-08-29,34023,10.43479204548344,138,,
2022-09-05,34081,10.436495323235768,139,,
2022-09-12,35019,10.463646050320772,140,,
2022-09-19,34397,10.445724630256212,141,,
2022-09-26,34813,10.45774615922359,142,,
2022-10-03,33857,10.429901051643771,143,,
2022-10-10,35491,10.477034422194833,144,,
2022-10-17,35984,10.490829674199096,145,,
2022-10-24,34587,10.451233167901064,146,,
2022-10-31,35202,10.468858178153916,147,,
2022-11-07,36698,10.510477536644899,148,,
2022-11-14,37274,10.526051311640611,149,,
2022-11-21,34995,10.46296047312364,150,,
2022-11-28,35026,10.46384592183261,151,,
2022-12-05,33663,10.424154590332975,152,33754.61577110055,-91.61577110055077
2022-12-12,33199,10.410275033969022,153,33642.28844550877,-443.28844550876966
2022-12-19,29981,10.308319126670684,154,33530.33491851574,-3549.334918515742
2022-12-26,25341,10.140178916395607,155,33418.7539462086,-8077.753946208599
2023-01-02,29543,10.293602108139348,156,33307.54428881415,-3764.544288814148
2023-01-09,31901,10.370392636243981,157,33196.70471068465,-1295.7047106846512
2023-01-16,30672,10.331105465285425,158,33086.233980284516,-2414.2339802845163
2023-01-23,29833,10.30337044234806,159,32976.13087017621,-3143.13087017621
2023-01-30,30750,10.333645273234664,160,32866.39415700702,-2116.3941570070165
2023-02-06,30295,10.318737961379089,161,32757.022621495107,-2462.022621495107
2023-02-13,28960,10.273670846499652,162,32648.015048416102,-3688.015048416102
2023-02-20,28711,10.265035603577836,163,32539.370226589734,-3828.3702265897336
2023-02-27,27599,10.225534819164793,164,32431.086948866247,-4832.0869488662465
2023-03-06,27079,10.206513798722508,165,32323.16401211288,-5244.16401211288
2023-03-13,26590,10.188290484237065,166,32215.600217200612,-5625.600217200612
2023-03-20,25149,10.132573413305968,167,32108.39436899101,-6959.394368991008
2023-03-27,24969,10.125390334414204,168,32001.54527632254,-7032.54527632254
2023-04-03,22558,10.023845049199862,169,31895.05175199781,-9337.05175199781
2023-04-10,22123,10.004373070309986,170,31788.912612769902,-9665.912612769902
2023-04-17,21605,9.980680048366034,171,31683.1266793297,-10078.1266793297
2023-04-24,21462,9.974039208487072,172,31577.692776292308,-10115.692776292308
2023-05-01,20073,9.907130907450927,173,31472.609732184465,-11399.609732184465
2023-05-08,20408,9.923682259821648,174,31367.876379431065,-10959.876379431065
2023-05-15,19576,9.882059605122508,175,31263.491554342647,-11687.491554342647
2023-05-22,19155,9.860319057134749,176,31159.454097101996,-12004.454097101996
2023-05-29,19796,9.893235176071776,177,31055.762851751722,-11259.762851751722
2023-06-05,19821,9.894497260697996,178,30952.416666180965,-11131.416666180965
2023-06-12,19518,9.879092395701406,179,30849.41439211303,-11331.41439211303
2023-06-19,19754,9.891111281468072,180,30746.754885092207,-10992.754885092207
2023-06-26,19308,9.868274796780383,181,30644.43700447146,-11336.43700447146
2023-07-03,19252,9.865370230423,182,30542.459613399362,-11290.459613399362
2023-07-10,19738,9.890300990731953,183,30440.821578807852,-10702.821578807852
2023-07-17,19152,9.860162427797754,184,30339.521771399242,-11187.521771399242
2023-07-24,19076,9.856186279418115,185,30238.559065634105,-11162.559065634105
2023-07-31,18380,9.819018395909678,186,30137.932339718303,-11757.932339718303
2023-08-07,17895,9.792276623200125,187,30037.640475590993,-12142.640475590993
2023-08-14,16786,9.728300484642773,188,29937.682358911756,-13151.682358911756
2023-08-21,17345,9.76105955940385,189,29838.05687904864,-12493.05687904864
2023-08-28,16508,9.711600390872473,190,29738.762929065408,-13230.762929065408
2023-09-04,15775,9.666181687409415,191,29639.799405709644,-13864.799405709644
2023-09-11,16370,9.70320567036518,192,29541.165209400097,-13171.165209400097
2023-09-18,16436,9.707229330003301,193,29442.859244214855,-13006.859244214855
2023-09-25,16011,9.681031265002055,194,29344.880417878772,-13333.880417878772
2023-10-02,15443,9.644911105223,195,29247.227641751742,-13804.227641751742
2023-10-09,15286,9.63469265580283,196,29149.89983081619,-13863.89983081619
2023-10-16,15112,9.623244409181346,197,29052.89590366542,-13940.89590366542
2023-10-23,15136,9.62483129129166,198,28956.214782491195,-13820.214782491195
2023-10-30,14876,9.60750445504496,199,28859.855393072183,-13983.855393072183
2023-11-06,15133,9.624633068687027,200,28763.816664761638,-13630.816664761638
2023-11-13,14944,9.612065160468624,201,28668.09753047568,-13724.09753047568
2023-11-20,14417,9.576163344811905,202,28572.69692668153,-14155.696926681529
2023-11-27,14965,9.6134694202868,203,28477.613793385586,-13512.613793385586
2023-12-04,14075,9.552155453007892,204,28382.84707412156,-14307.84707412156
2023-12-11,13701,9.525224101853109,205,28288.395715938837,-14587.395715938837
2023-12-18,12412,9.42641902556827,206,28194.258669390903,-15782.258669390903
2023-12-25,9803,9.190443740261726,207,28100.43488852337,-18297.43488852337
2024-01-01,11819,9.377463685012241,208,28006.92333086273,-16187.92333086273
2024-01-08,13705,9.525516008736886,209,27913.722957404378,-14208.722957404378
2024-01-15,14131,9.556126244582746,210,27820.832732601466,-13689.832732601466
2024-01-22,13949,9.543163100092235,211,27728.251624353008,-13779.251624353008
2024-01-29,14504,9.582179752434687,212,27635.978603992797,-13131.978603992797
2024-02-05,14176,9.559305672844863,213,27544.01264627759,-13368.012646277592
2024-02-12,13460,9.50747760319872,214,27452.3527293761,-13992.3527293761
2024-02-19,13906,9.540075680658964,215,27360.997834857255,-13454.997834857255
2024-02-26,13962,9.544094632530348,216,27269.94694767928,-13307.94694767928
2024-03-04,13222,9.489637387893524,217,27179.199056178022,-13957.199056178022
2024-03-11,13706,9.52558897214577,218,27088.753152056095,-13382.753152056095
2024-03-18,13048,9.476390144300849,219,26998.608230371297,-13950.608230371297
2024-03-25,12136,9.403931521028369,220,26908.763289525825,-14772.763289525825
2024-04-01,12347,9.421168397567744,221,26819.217331254764,-14472.217331254764
2024-04-08,12091,9.400216653174247,222,26729.969360615378,-14638.969360615378
2024-04-15,12823,9.458995712459116,223,26641.018385975673,-13818.018385975673
2024-04-22,12202,9.409355151711798,224,26552.363419003763,-14350.363419003763
2024-04-29,11531,9.352794339771116,225,26464.0034746565,-14933.0034746565
2024-05-06,11987,9.3915780082071,226,26375.937571168917,-14388.937571168917
2024-05-13,11409,9.34215779659637,227,26288.164730042943,-14879.164730042943
2024-05-20,10725,9.280332743796217,228,26200.683976036897,-15475.683976036897
2024-05-27,10171,9.227295812625597,229,26113.494337154283,-15942.494337154283
2024-06-03,9875,9.197761589769323,230,26026.59484463337,-16151.594844633371
2024-06-10,9342,9.142275641062053,231,25939.984532936047,-16597.984532936047
2024-06-17,9097,9.115699967822062,232,25853.662439737465,-16756.662439737465
2024-06-24,9435,9.152181457802651,233,25767.627605914982,-16332.627605914982
2024-07-01,8627,9.062652099076578,234,25681.879075537876,-17054.879075537876
