sample,week_start,event_type,events,first_seen_actors_in_sample,first_seen_repos_in_sample,year,post_chatgpt
gharchive_mon_thu_12utc_2021,2021-01-04,CreateEvent,33919,12899,17786,2021,False
gharchive_mon_thu_12utc_2021,2021-01-04,ForkEvent,5373,3733,3484,2021,False
gharchive_mon_thu_12utc_2021,2021-01-04,IssueCommentEvent,16838,5700,4215,2021,False
gharchive_mon_thu_12utc_2021,2021-01-04,IssuesEvent,7767,2477,2191,2021,False
gharchive_mon_thu_12utc_2021,2021-01-04,PullRequestEvent,19888,2338,4475,2021,False
gharchive_mon_thu_12utc_2021,2021-01-04,PushEvent,125702,36747,42918,2021,False
gharchive_mon_thu_12utc_2021,2021-01-11,CreateEvent,36005,12044,17361,2021,False
gharchive_mon_thu_12utc_2021,2021-01-11,ForkEvent,5333,3455,3113,2021,False
gharchive_mon_thu_12utc_2021,2021-01-11,IssueCommentEvent,16934,4984,3107,2021,False
gharchive_mon_thu_12utc_2021,2021-01-11,IssuesEvent,6902,2186,1724,2021,False
gharchive_mon_thu_12utc_2021,2021-01-11,PullRequestEvent,20375,1940,3343,2021,False
gharchive_mon_thu_12utc_2021,2021-01-11,PushEvent,128350,31706,38361,2021,False
gharchive_mon_thu_12utc_2021,2021-01-18,CreateEvent,46860,11799,26897,2021,False
gharchive_mon_thu_12utc_2021,2021-01-18,ForkEvent,5384,3444,2980,2021,False
gharchive_mon_thu_12utc_2021,2021-01-18,IssueCommentEvent,16757,4189,2607,2021,False
gharchive_mon_thu_12utc_2021,2021-01-18,IssuesEvent,8022,2116,2192,2021,False
gharchive_mon_thu_12utc_2021,2021-01-18,PullRequestEvent,30005,1631,3263,2021,False
gharchive_mon_thu_12utc_2021,2021-01-18,PushEvent,124755,28521,35208,2021,False
gharchive_mon_thu_12utc_2021,2021-01-25,CreateEvent,35232,11216,17132,2021,False
gharchive_mon_thu_12utc_2021,2021-01-25,ForkEvent,5084,3162,2750,2021,False
gharchive_mon_thu_12utc_2021,2021-01-25,IssueCommentEvent,16650,3853,2282,2021,False
gharchive_mon_thu_12utc_2021,2021-01-25,IssuesEvent,7054,1897,1435,2021,False
gharchive_mon_thu_12utc_2021,2021-01-25,PullRequestEvent,19507,1464,2746,2021,False
gharchive_mon_thu_12utc_2021,2021-01-25,PushEvent,128410,26468,34363,2021,False
gharchive_mon_thu_12utc_2021,2021-02-01,CreateEvent,39017,10974,17603,2021,False
gharchive_mon_thu_12utc_2021,2021-02-01,ForkEvent,5205,3124,2649,2021,False
gharchive_mon_thu_12utc_2021,2021-02-01,IssueCommentEvent,17698,3570,2080,2021,False
gharchive_mon_thu_12utc_2021,2021-02-01,IssuesEvent,7871,1887,1326,2021,False
gharchive_mon_thu_12utc_2021,2021-02-01,PullRequestEvent,22829,1334,2950,2021,False
gharchive_mon_thu_12utc_2021,2021-02-01,PushEvent,133627,24899,32857,2021,False
gharchive_mon_thu_12utc_2021,2021-02-08,CreateEvent,34828,10015,16045,2021,False
gharchive_mon_thu_12utc_2021,2021-02-08,ForkEvent,4396,2685,2172,2021,False
gharchive_mon_thu_12utc_2021,2021-02-08,IssueCommentEvent,16060,3113,1738,2021,False
gharchive_mon_thu_12utc_2021,2021-02-08,IssuesEvent,7072,1740,1232,2021,False
gharchive_mon_thu_12utc_2021,2021-02-08,PullRequestEvent,21073,1169,2441,2021,False
gharchive_mon_thu_12utc_2021,2021-02-08,PushEvent,122644,22126,30082,2021,False
gharchive_mon_thu_12utc_2021,2021-02-15,CreateEvent,36133,10027,16611,2021,False
gharchive_mon_thu_12utc_2021,2021-02-15,ForkEvent,4819,2842,2281,2021,False
gharchive_mon_thu_12utc_2021,2021-02-15,IssueCommentEvent,16584,3078,1645,2021,False
gharchive_mon_thu_12utc_2021,2021-02-15,IssuesEvent,7178,1672,1180,2021,False
gharchive_mon_thu_12utc_2021,2021-02-15,PullRequestEvent,21429,1088,2433,2021,False
gharchive_mon_thu_12utc_2021,2021-02-15,PushEvent,130486,22030,31344,2021,False
