week_start,events,first_seen_actors,first_seen_repos
2021-01-04,224235,73755,85371
2021-01-11,228420,65500,75570
2021-01-18,246608,60547,81210
2021-01-25,226463,56688,67846
2021-02-01,242467,53829,66278
2021-02-08,218303,47238,59404
2021-02-15,229945,47509,61466
2021-02-22,242363,48482,63159
2021-03-01,251306,49479,64948
2021-03-08,250167,47118,62667
2021-03-15,272214,50649,73838
2021-03-22,253063,49422,67395
2021-03-29,259300,47778,64637
2021-04-05,289038,47108,66693
2021-04-12,280560,48707,65290
2021-04-19,276788,46964,65776
2021-04-26,269585,45972,64745
2021-05-03,255200,43633,61752
2021-05-10,335359,40944,97175
2021-05-17,337819,43025,90100
2021-05-24,316431,43231,82970
2021-05-31,262340,42781,62843
2021-06-07,277765,43106,65636
2021-06-14,275405,40465,63154
2021-06-21,265658,38968,58841
2021-06-28,273449,38382,58820
2021-07-05,257112,38250,57796
2021-07-12,267589,38222,60065
2021-07-19,267852,36813,59268
2021-07-26,262914,35829,55759
2021-08-02,270696,34805,60224
2021-08-09,335268,34935,98251
2021-08-16,274263,35858,61679
2021-08-23,136245,18311,29052
2021-08-30,335656,35668,75154
2021-09-06,286482,37567,59091
2021-09-13,284964,38744,61563
2021-09-20,287453,38130,60520
2021-09-27,290539,37668,60584
2021-10-04,187897,26612,44002
2021-10-11,83057,16675,26724
2021-10-18,77718,15965,25805
2021-11-01,291869,38871,61891
2021-11-08,312446,38035,68582
2021-11-15,296418,37843,65378
2021-11-22,283198,37367,59729
2021-11-29,302180,39080,63027
2021-12-06,298852,38198,61573
2021-12-13,302730,37012,59681
2021-12-20,306780,32276,53684
2021-12-27,225233,28563,47940
2022-01-03,285546,79400,99934
2022-01-10,324305,74519,101905
2022-01-17,302972,70950,84001
2022-01-24,293726,64868,80420
2022-01-31,288201,57690,72555
2022-02-07,347845,56344,109039
2022-02-14,298187,56368,75990
2022-02-21,298808,55235,71950
2022-02-28,288933,52497,69841
2022-03-07,309746,54175,73761
2022-03-14,315002,55285,75394
2022-03-21,323908,55351,76817
2022-03-28,323410,55717,76421
2022-04-04,320295,54763,74045
2022-04-11,307722,50364,69932
2022-04-18,309891,49728,68459
2022-04-25,318626,50792,71975
2022-05-02,317201,47049,66921
2022-05-09,295019,47181,67509
2022-05-16,320267,49852,72074
2022-05-23,306458,46888,68359
2022-05-30,307791,45334,68009
2022-06-06,291111,43648,65668
2022-06-13,280849,42116,64281
2022-06-20,287609,41101,65844
2022-06-27,270284,40691,62524
2022-07-04,299452,37782,75099
2022-07-11,281340,39150,60882
2022-07-18,326530,41407,68486
2022-07-25,337193,44206,69703
2022-08-01,344229,41990,67224
2022-08-08,342722,41173,65754
2022-08-15,342277,41090,66326
2022-08-22,352362,44080,71324
2022-08-29,370714,42863,71446
2022-09-05,411731,41432,99690
2022-09-12,368909,44580,72701
2022-09-19,379907,44171,74202
2022-09-26,376751,43520,77021
2022-10-03,421948,41010,106709
2022-10-10,392523,44361,87653
2022-10-17,419932,43489,90438
2022-10-24,383180,42084,78411
2022-10-31,376498,42514,72752
2022-11-07,370314,42399,75418
2022-11-14,370776,42387,74122
2022-11-21,361700,41866,70901
2022-11-28,392706,41574,71921
2022-12-05,431796,39948,98107
2022-12-12,412297,38543,87415
2022-12-19,403163,34598,75083
2022-12-26,337888,30875,54408
2023-01-02,371663,84184,137243
2023-01-09,371243,83787,112909
2023-01-16,383367,73927,92091
2023-01-23,380287,68607,85517
2023-01-30,406378,71677,94420
2023-02-06,393588,69682,88426
2023-02-13,415754,67737,90310
2023-02-20,407387,65964,88710
2023-02-27,413925,64938,87486
2023-03-06,455094,63041,104426
2023-03-13,426649,65995,88445
2023-03-20,368157,56860,77731
2023-03-27,217890,39637,51819
2023-04-03,393176,60295,79401
2023-04-10,386666,57703,77027
2023-04-17,393299,55841,78745
2023-04-24,385202,54211,76088
2023-05-01,395753,50912,73904
2023-05-08,383314,53341,75771
2023-05-15,388058,52541,75794
2023-05-22,367986,50523,73807
2023-05-29,394233,50642,76414
2023-06-05,374904,49528,74310
2023-06-12,370298,47755,71847
2023-06-19,380189,46491,72834
2023-06-26,400596,49022,76110
2023-07-03,382233,48096,75446
2023-07-10,389525,47377,74130
2023-07-17,409118,47223,77643
2023-07-24,427202,46442,75613
2023-07-31,416394,44942,72488
2023-08-07,418509,43794,70304
2023-08-14,399883,41240,67247
2023-08-21,410479,42920,70672
2023-08-28,407656,43734,70180
2023-09-04,417188,42929,71851
2023-09-11,448173,48191,75595
2023-09-18,440638,47494,76105
2023-09-25,439614,45507,74970
2023-10-02,439644,46255,77367
2023-10-09,432900,46048,75445
2023-10-16,448117,46141,77965
2023-10-23,450856,46903,76758
2023-10-30,453332,45361,74643
2023-11-06,451204,45336,75949
2023-11-13,445039,43933,71670
2023-11-20,451659,44565,73000
2023-11-27,553335,41753,68185
2023-12-04,606657,33588,55360
2023-12-11,478181,43570,71976
2023-12-18,435346,40802,68300
2023-12-25,417824,32800,54816
2024-01-01,453794,81093,132567
2024-01-08,462249,93487,106036
2024-01-15,516485,82968,97374
2024-01-22,503060,77348,93234
2024-01-29,554621,72644,90578
2024-02-05,565599,68165,85858
2024-02-12,544307,64234,84042
2024-02-19,582221,67065,85600
2024-02-26,571406,65916,86593
2024-03-04,563337,66698,87856
2024-03-11,583979,66328,86448
2024-03-18,522740,68275,88863
2024-03-25,518929,62301,84041
2024-04-01,544841,59395,80344
2024-04-08,553535,59909,82755
2024-04-15,537638,60265,83606
2024-04-22,556701,59907,85340
2024-04-29,548556,57957,86697
2024-05-06,524385,57268,84091
2024-05-13,525000,58498,83519
2024-05-20,531743,57241,82267
2024-05-27,522370,57275,85385
2024-06-03,517402,55929,82292
2024-06-10,517281,55140,83377
2024-06-17,512159,53436,78468
2024-06-24,503000,52530,78908
2024-07-01,501405,51543,80945
2024-07-08,491921,50870,77131
2024-07-15,497156,51411,77552
2024-07-22,496683,50621,76572
2024-07-29,481340,47135,74053
2024-08-05,495341,48306,76770
2024-08-12,481530,46558,73019
2024-08-19,506714,47826,75166
2024-08-26,496922,49095,76857
2024-09-02,473871,48032,76333
2024-09-09,509605,51484,81946
2024-09-16,505978,50718,81722
2024-09-23,506865,52434,84801
2024-09-30,496219,49985,81984
2024-10-07,514632,52062,83405
2024-10-14,508191,53049,85262
2024-10-21,513832,53024,84693
2024-10-28,503022,49005,78534
2024-11-04,507739,50057,81239
2024-11-11,505638,49596,80517
2024-11-18,500083,51008,83300
2024-11-25,510674,49600,81881
2024-12-02,510149,50493,84883
2024-12-09,469204,46715,76027
2024-12-16,470464,45252,74839
2024-12-23,464555,39813,65632
2024-12-30,231676,19102,32060
