language,weeks,events,active_actors,first_seen_actors_language,pr_events,pr_first_seen_actors,issue_events,issue_first_seen_actors,so_dependence_log,so_dependence_rank
typescript,209,90506.0,44718.0,13540.0,17179.0,1751.0,67646.0,9057.0,11.939460371030815,0.5714285714285714
java,209,71256.0,24112.0,4129.0,22267.0,936.0,47403.0,2972.0,13.199972356731312,0.9285714285714286
python,209,56702.0,29400.0,13177.0,13588.0,1357.0,35674.0,6434.0,14.30913207615029,1.0
go,209,47962.0,22248.0,6258.0,6505.0,1122.0,38248.0,3523.0,10.567231668726755,0.1428571428571428
cpp,209,31336.0,17198.0,5558.0,5190.0,727.0,23403.0,3212.0,12.383524028925184,0.6785714285714286
javascript,209,18898.0,11534.0,5325.0,3234.0,391.0,12485.0,2519.0,14.13993797467784,0.9642857142857144
shell,209,18541.0,4760.0,760.0,1872.0,362.0,16637.0,707.0,10.293839022834243,0.0357142857142857
csharp,209,13479.0,7901.0,3245.0,2034.0,197.0,10208.0,2353.0,12.944212312008949,0.8928571428571429
html,209,12626.0,5031.0,1063.0,2997.0,314.0,9445.0,883.0,12.81029024689004,0.8214285714285714
ruby,209,10003.0,2036.0,529.0,6244.0,226.0,3586.0,265.0,10.545709791910785,0.1071428571428571
c,209,8265.0,5546.0,1151.0,2720.0,480.0,5309.0,933.0,11.725501374934346,0.4642857142857143
php,209,3087.0,1946.0,622.0,104.0,58.0,2878.0,585.0,12.696130096010446,0.7857142857142857
scala,209,2586.0,1299.0,448.0,417.0,101.0,1893.0,150.0,10.514882231223812,0.0714285714285714
