outcome,treatment,coefficient,std_error_cluster_language,p_value,n_obs,n_languages,adj_r2
log1p_events,so_dependence_log,-0.15781234620952098,0.49161185668275315,0.7482027755915703,1881,9,0.3245281371039628
log1p_active_actors,so_dependence_log,-0.14741613660838707,0.12691688177792654,0.24543164713714183,1881,9,0.9391275814176011
log1p_first_seen_actors_language,so_dependence_log,0.045744155862179475,0.06597867348311104,0.4881104475827517,1881,9,0.8484588142267357
log1p_pr_events,so_dependence_log,-0.04541964107470856,0.06392249795607984,0.4773678867050598,1881,9,0.9452507715005928
log1p_pr_first_seen_actors,so_dependence_log,0.029226684631383306,0.06102342261688623,0.631979837660759,1881,9,0.6978230680565403
log1p_issue_events,so_dependence_log,-0.08864057424086733,0.10953308159670946,0.41836648791686404,1881,9,0.9764661568623111
log1p_issue_first_seen_actors,so_dependence_log,0.03529189198508218,0.08029047712829994,0.6602611413370609,1881,9,0.7965200568648251
log1p_events,so_dependence_rank,-0.5314061644493777,1.9083068385289093,0.7806516075963463,1881,9,0.3241988089732474
log1p_active_actors,so_dependence_rank,-0.6612074406408993,0.3693010291220964,0.0733848985019903,1881,9,0.9399613089782498
log1p_first_seen_actors_language,so_dependence_rank,0.11366070453420027,0.24640184219376435,0.6445963847682132,1881,9,0.8478695927626733
log1p_pr_events,so_dependence_rank,-0.28528682725754834,0.16505544592483384,0.08391111431597972,1881,9,0.9458627301913595
log1p_pr_first_seen_actors,so_dependence_rank,0.05185422569919306,0.22512642760574952,0.8178323974819139,1881,9,0.697093313321742
log1p_issue_events,so_dependence_rank,-0.5235053501150487,0.2913030420158586,0.07231721025769584,1881,9,0.9772967603135873
log1p_issue_first_seen_actors,so_dependence_rank,0.07235037288613148,0.30849216439194566,0.814574286759067,1881,9,0.7959876864734625
