spec,ddd,se,p,n,n_tags,excluded
baseline_all_100,-0.13779059681993155,0.05192921965301629,0.00928307930193717,164351,100,
drop_top_1,-0.165538346943708,0.05331115556888311,0.002487046310244656,162526,99,python
drop_top_5,-0.19258763038673127,0.05455913949747234,0.0006457375265223053,155278,95,"python,javascript,java,reactjs,c#"
drop_top_10,-0.1957113479385891,0.056349391326925354,0.0007962978374784768,146506,90,"python,javascript,java,reactjs,c#,html,android,r,php,node.js"
drop_top_20,-0.1842341681830477,0.06727127587289684,0.00762084305367039,129152,80,"python,javascript,java,reactjs,c#,html,android,r,php,node.js,css,c++,pandas,python-3.x,sql,flutter,typescript,angular,arrays,django"
drop_python,-0.165538346943708,0.05331115556888311,0.002487046310244656,162526,99,python
drop_javascript,-0.15102822466374785,0.054584169773784844,0.006765952000723496,162541,99,javascript
drop_java,-0.13949733102531178,0.052338053264489655,0.008996472499488428,162533,99,java
drop_reactjs,-0.1399797481107651,0.052465288848672804,0.00892866779958812,162548,99,reactjs
drop_c#,-0.1382038551355104,0.05202693281476143,0.009221262331519986,162534,99,c#
drop_html,-0.1356104827000259,0.052131838236571595,0.010725438950773158,162658,99,html
drop_android,-0.13698634660807335,0.05203796814051762,0.009850254423545257,162558,99,android
drop_r,-0.13941984418468337,0.05267715054914814,0.00947152270575824,162596,99,r
drop_php,-0.1379705239778998,0.05203188243485807,0.009342655224228835,162604,99,php
drop_node.js,-0.13834917150581352,0.05220350471472508,0.009380468229798433,162567,99,node.js
