outcome,bin_weeks,relative_bin,relative_week_start,estimate,std_error,p_value
log_questions,13,-12,-156,-0.2746109572822111,0.0838373393574983,0.0010546731022824524
log_questions,13,-11,-143,-0.13857684937818018,0.061624430001475224,0.024529529608773307
log_questions,13,-10,-130,-0.15125464844622077,0.05096140692844335,0.002997215086315743
log_questions,13,-9,-117,-0.09786761671825128,0.04038225234680819,0.015370466185371403
log_questions,13,-8,-104,-0.11125777613747886,0.03686608870859009,0.0025454183426931567
log_questions,13,-7,-91,-0.08435575336058349,0.03646847801244143,0.020716362672958
log_questions,13,-6,-78,-0.08263051140272348,0.033787678759129074,0.014461888583001478
log_questions,13,-5,-65,-0.04901486916599157,0.032050217364317735,0.1261864424183077
log_questions,13,-4,-52,-0.05446949122040767,0.025401315054533836,0.032004281925646375
log_questions,13,-3,-39,-0.04197181092616789,0.026274976100802615,0.1101751811762228
log_questions,13,-2,-26,-0.06306469750207544,0.02372240007445403,0.007850214662989505
log_questions,13,0,0,-0.07643177940075739,0.01770359978287934,1.579482821886332e-05
log_questions,13,1,13,-0.18489188764681044,0.03560963623167494,2.0783817601086525e-07
log_questions,13,2,26,-0.2991467315540583,0.0416435161770621,6.794267081441853e-13
log_questions,13,3,39,-0.3499801094035465,0.0438887597879796,1.5330422008983005e-15
log_questions,13,4,52,-0.3926351434013388,0.05172946564615416,3.195001044937953e-14
log_questions,13,5,65,-0.42192772039932097,0.05723301129626876,1.6795571051147222e-13
log_questions,13,6,78,-0.46046121261041423,0.06626008016135619,3.671016768952014e-12
log_questions,13,7,91,-0.5263123953725857,0.06994626931715588,5.2912657513034144e-14
log_questions,13,8,104,-0.5578321371746148,0.08391604362301816,2.9810726327821923e-11
log_questions,13,9,117,-0.5769207613914982,0.08219759495667282,2.2393224974261754e-12
log_questions,13,10,130,-0.6302039621949111,0.0815915883725207,1.1283755551110512e-14
log_questions,13,11,143,-0.6632058672354533,0.07941703767367857,6.772939582920162e-17
log_questions,13,12,156,-0.6932545524199266,0.07840203753825156,9.376573463619127e-19
log_answers,13,-12,-156,-0.3057013136322361,0.07236396499165927,2.3947562033908677e-05
log_answers,13,-11,-143,-0.17687556175187552,0.05660941263108779,0.0017811338255109734
log_answers,13,-10,-130,-0.16640101620045902,0.04964547081378376,0.0008029192820594957
log_answers,13,-9,-117,-0.11569526994685973,0.0413845095605802,0.005180062612201577
log_answers,13,-8,-104,-0.12899208642682988,0.039110442538093926,0.0009732430207253461
log_answers,13,-7,-91,-0.09856907310055714,0.03939189750196423,0.012340057486111302
log_answers,13,-6,-78,-0.082652414258976,0.03390755752391864,0.014785905699791208
log_answers,13,-5,-65,-0.053189369532036235,0.02984456767540197,0.07471454164538664
log_answers,13,-4,-52,-0.05365439550364396,0.026672698128809492,0.044263717583547704
log_answers,13,-3,-39,-0.03796882914683314,0.026550103626610005,0.1526934440683475
log_answers,13,-2,-26,-0.04528264242954302,0.021630383433149113,0.03630687460895611
log_answers,13,0,0,-0.08039690305486953,0.01926813075353333,3.012325275974733e-05
log_answers,13,1,13,-0.18238786430243845,0.03662426347836595,6.35929559574861e-07
log_answers,13,2,26,-0.2624590914274178,0.037488447370049575,2.5402237267190235e-12
log_answers,13,3,39,-0.3326391993374722,0.040257043769600785,1.4219687999801428e-16
log_answers,13,4,52,-0.3862628047257323,0.048592332105903156,1.8794946314465698e-15
log_answers,13,5,65,-0.401932849813924,0.055136542136663275,3.104788002916852e-13
log_answers,13,6,78,-0.4344228751131912,0.0614327374091877,1.5324492232320831e-12
log_answers,13,7,91,-0.5192266487444409,0.06655764863624004,6.134226845205303e-15
log_answers,13,8,104,-0.5282155541498254,0.0847334659192345,4.5511445682788923e-10
log_answers,13,9,117,-0.5184383732181028,0.0794401505384236,6.748154462794764e-11
log_answers,13,10,130,-0.554980204476356,0.07844679388065726,1.4987333717901056e-12
log_answers,13,11,143,-0.5899948081861319,0.08361825667569696,1.715940826756985e-12
log_answers,13,12,156,-0.6586765212611108,0.08005086771002297,1.9000851686539355e-16
