tag,ai_answerability_zscore,mean_questions_pre,mean_answers_pre,trend_log_questions_pre,trend_log_answers_pre,volatility_log_questions_pre,tag_maturity_weeks_pre,code_share_pre,closed_share_pre,answer_rate_pre,short_code_share_pre
.net,-0.5701966552086524,254.8171206225681,280.8093385214008,-0.0012063035486380362,-0.0020536647647838666,0.1674488454117985,257,0.8011385797329674,0.047749205961397506,0.7676641206225681,0.14441271003866166
.net-core,-0.5595052448501922,134.49027237354085,157.42801556420233,-0.0009871011182701643,-0.002329014457997917,0.2968125439619274,257,0.821654397667882,0.027398449253558617,0.7909630116731518,0.1179611322688849
ajax,-0.7736792378103795,172.20622568093384,184.42801556420233,-0.006189611381266208,-0.007572467058496669,0.4800912520108945,257,0.9493229605070765,0.04512280543190908,0.7541758677042801,0.06692726798930876
algorithm,-0.3987629610195847,142.33073929961088,207.11673151750972,-0.0008636340738973608,-0.0018613760385649094,0.18000119031808917,257,0.7606119636629074,0.06151070286229804,0.8615559455252918,0.14628308578374397
amazon-web-services,-0.4304247037345853,355.05836575875486,407.2568093385214,0.0004212932235502082,-0.0010375017241148628,0.14796095843189258,257,0.6409899345019621,0.013884931506849316,0.8095691361867704,0.12345076191107617
android,-0.3060339294090371,1393.5758754863814,1664.7237354085603,-0.004436482915502415,-0.005598748512983425,0.33956085961443605,257,0.7881624624961258,0.03590405110722074,0.7651656926070038,0.11409964576188364
android-studio,-0.5617977138052218,177.68482490272373,229.27237354085602,-0.0007778772495630093,-0.002067732774071799,0.37477042145092143,257,0.6783673119550574,0.041125588525128653,0.7728830194552528,0.1120289814053257
angular,0.1137624514570828,775.6303501945525,1013.3540856031128,-0.004526712804398712,-0.005768660973446395,0.3585454244844003,257,0.8718852221345949,0.022484536237627736,0.8287759688715953,0.1481338889341454
apache-spark,-0.2052355048131066,171.20622568093384,186.49027237354085,-0.002986338328020007,-0.0035751181351125465,0.2673329268622601,257,0.8625589174105609,0.032863636363636366,0.8001362217898834,0.17969751421358948
arrays,0.7639486316081535,600.0155642023346,984.863813229572,-0.0011473096061177244,-0.0022509109178629238,0.16518283565232322,257,0.9603263859281124,0.0952374776270395,0.9049338638132295,0.23002467679031682
asp.net,-0.7182458623252016,199.07782101167317,204.78210116731518,-0.004363304873414876,-0.0049104154708998786,0.34569166881166996,257,0.8194895385704627,0.03234759494165706,0.7526368910505837,0.1213826189214267
asp.net-core,-0.3608945357200452,224.9455252918288,269.1400778210117,-0.000360018519827251,-0.001674391322615105,0.23362505337261727,257,0.842083963543244,0.022383283458165402,0.8109632451361868,0.11044431897171923
asp.net-mvc,-0.528370258586997,144.284046692607,153.95719844357976,-0.005821287009480196,-0.006362777576064875,0.45484569532016145,257,0.8568011447502711,0.033143658477387344,0.7766877898832685,0.11402788369795808
azure,-0.2501872760217949,287.0739299610895,341.1906614785992,-5.270663769129998e-05,-0.0007983677614890276,0.1448740701262848,257,0.5467739727634469,0.010382498847895036,0.8817127548638132,0.09133090146134971
