outcome,post_date,estimate,std_error,t_stat,p_value,n_obs,n_tags,placebo_type
log_questions,2019-11-30,0.19033887916605055,0.06433219598230211,2.9586877341854314,0.0030923826750319794,25627,100,fixed_date
log_answers,2019-11-30,0.20917114521575633,0.05473528694342618,3.8215044973081707,0.0001329576112312214,25627,100,fixed_date
log_questions,2020-11-30,0.16850915280692974,0.05999946295552783,2.8085110183707864,0.0049809358047545604,25627,100,fixed_date
log_answers,2020-11-30,0.19650165603987377,0.05144767013522029,3.8194471299362447,0.0001340707503381111,25627,100,fixed_date
log_questions,2021-11-30,0.1488517777769991,0.055817141646542556,2.666775355850192,0.007663161213442349,25627,100,fixed_date
log_answers,2021-11-30,0.17835188988504977,0.049992360944869786,3.5675828569435115,0.00036095586445417105,25627,100,fixed_date
log_questions,2022-06-30,0.14847415182229523,0.054322372014801425,2.7332045033276513,0.006276500117436745,25627,100,fixed_date
log_answers,2022-06-30,0.17484977210713828,0.04982567095743765,3.509230658559508,0.0004501865268469185,25627,100,fixed_date
log_questions,2022-11-30,-0.3012703189551712,0.06974571868114414,-4.319552865065251,1.567000885716041e-05,43003,100,real_chatgpt
log_answers,2022-11-30,-0.25390675400773094,0.06639272100609755,-3.8243161322520876,0.00013132287700301504,43003,100,real_chatgpt
