sample,outcome,post_date,estimate,std_error,t_stat,p_value,n_obs,n_tags
top_50,log_questions,2022-11-30,-0.32331904883101176,0.09886631120255956,-3.270265117594893,0.001076176147627672,21750,50
top_50,log_answers,2022-11-30,-0.2848594741436095,0.09562254380164084,-2.978999123203847,0.0028951810913595555,21750,50
top_100,log_questions,2022-11-30,-0.3012703189551712,0.06974571868114414,-4.319552865065251,1.567000885716041e-05,43003,100
top_100,log_answers,2022-11-30,-0.25390675400773094,0.06639272100609755,-3.8243161322520876,0.00013132287700301504,43003,100
exclude_top_10,log_questions,2022-11-30,-0.33255605295765694,0.07314530898838431,-4.546512381408736,5.470973946097857e-06,38644,90
exclude_top_10,log_answers,2022-11-30,-0.27841763055411284,0.07087924966090486,-3.928055557671637,8.578620375998547e-05,38644,90
exclude_ai_ml_tags,log_questions,2022-11-30,-0.3133453233541539,0.06957761346093855,-4.503536522276214,6.701508185491534e-06,41725,97
exclude_ai_ml_tags,log_answers,2022-11-30,-0.26698883599697926,0.06604470629536784,-4.042547101397361,5.296972598856087e-05,41725,97
balanced_active,log_questions,2022-11-30,-0.3012703189551712,0.06974571868114414,-4.319552865065251,1.567000885716041e-05,43003,100
balanced_active,log_answers,2022-11-30,-0.25390675400773094,0.06639272100609755,-3.8243161322520876,0.00013132287700301504,43003,100
