ai_measure,sample,outcome,estimate,se,p,n
quantile,top50,log_questions_p1,-0.37804177724916194,0.0736461534824338,4.891119167904634e-06,85828
quantile,top50,log_unique_users_p1,-0.3628430112659202,0.07328252706870585,9.140999385204296e-06,85828
quantile,top75,log_questions_p1,-0.29625633668436296,0.07556737876797949,0.00019563931092547726,125610
quantile,top75,log_unique_users_p1,-0.28468106531985826,0.07422869359964153,0.00026165609369366294,125610
quantile,iqr_band,log_questions_p1,-0.25690788722939184,0.08621637801307928,0.0039002022882907994,123185
quantile,iqr_band,log_unique_users_p1,-0.24964914983523062,0.08465267391861303,0.0042634487466717275,123185
zscore,top50,log_questions_p1,-0.23623060909035493,0.0724606044368906,0.002028863601622133,85828
zscore,top50,log_unique_users_p1,-0.22781131324974535,0.07202258482215276,0.002680318275928073,85828
quantile,full,log_questions_p1,-0.20975528118280773,0.07217980043962556,0.0045167711990588,164351
quantile,full,log_unique_users_p1,-0.20064116386341185,0.07087785473798214,0.005623811045948779,164351
zscore,top75,log_questions_p1,-0.18115412265964026,0.056730048026348054,0.0020667472301580947,125610
structural,top50,log_questions_p1,-0.17694882568183892,0.07005342138732559,0.01482237540858411,85828
zscore,top75,log_unique_users_p1,-0.1756888050649834,0.055624601777058025,0.0022964389685391495,125610
structural,top50,log_unique_users_p1,-0.1717733964915406,0.06959629756474192,0.017119738575792853,85828
zscore,iqr_band,log_questions_p1,-0.15495831146804367,0.057788716051650924,0.009033603347418317,123185
zscore,iqr_band,log_unique_users_p1,-0.15161198614196864,0.05690950688195886,0.00946965234717978,123185
zscore,full,log_questions_p1,-0.1377905968199312,0.051929219769485495,0.009283079454547094,164351
zscore,full,log_unique_users_p1,-0.1328927961334049,0.05113851172152974,0.010787063948160869,164351
structural,top75,log_questions_p1,-0.1295530830972958,0.048735254510346944,0.009619056365581136,125610
structural,iqr_band,log_questions_p1,-0.12849833055994844,0.04958783409716313,0.011511439529611422,123185
structural,top75,log_unique_users_p1,-0.1259066132424151,0.04781038058360061,0.010285316233244357,125610
structural,iqr_band,log_unique_users_p1,-0.12567276153174167,0.048755547829708916,0.011938376491742897,123185
structural,full,log_questions_p1,-0.1081789418032067,0.045993276813809394,0.02064935245609867,164351
structural,full,log_unique_users_p1,-0.10430123909645196,0.0453601821130504,0.02358281817798069,164351
pca,top50,log_unique_users_p1,-0.0885772639652062,0.017380747366348658,5.55568888427338e-06,85828
pca,top50,log_questions_p1,-0.0883966804311723,0.01838009774218765,1.4826343570417677e-05,85828
pca,top75,log_questions_p1,-0.06122443817005971,0.020827218373445994,0.004381566750064847,125610
pca,top75,log_unique_users_p1,-0.06119587209000152,0.020160339523935533,0.003313907348114542,125610
pca,iqr_band,log_unique_users_p1,-0.06077342711031793,0.020497450831471958,0.004072473103321705,123185
pca,iqr_band,log_questions_p1,-0.060633215111348844,0.0211804545944315,0.005460253779458801,123185
pca,full,log_questions_p1,-0.04494558698145049,0.019661636931560925,0.024388424508232642,164351
pca,full,log_unique_users_p1,-0.04474325445810048,0.01922436155323347,0.021978922501901366,164351
