relative_week_bin,estimate,std_error,ci_low,ci_high,omitted_bin,outcome,bin_width
-104,-0.12672327100284514,0.046687123357575896,-0.2182300327836939,-0.03521650922199639,-4,log_questions,4
-100,-0.15952688008043384,0.044364617541043684,-0.24648153046087945,-0.07257222969998822,-4,log_questions,4
-96,-0.12637403155827714,0.044702621355510064,-0.21399116941507687,-0.03875689370147742,-4,log_questions,4
-92,-0.12439922560315954,0.04633678194027695,-0.21521931820610235,-0.03357913300021673,-4,log_questions,4
-88,-0.10701859370230127,0.04395453260389676,-0.1931694776059389,-0.020867709798663633,-4,log_questions,4
-84,-0.10656878161509627,0.04528977289283954,-0.19533673648506178,-0.01780082674513077,-4,log_questions,4
-80,-0.09909896585992081,0.05153660189311797,-0.20011070557043203,0.0019127738505904102,-4,log_questions,4
-76,-0.13434062746719144,0.051354651502830646,-0.23499574441273952,-0.03368551052164338,-4,log_questions,4
-72,-0.10335650909325285,0.0406582277891564,-0.1830466355599994,-0.023666382626506305,-4,log_questions,4
-68,-0.0923851269146164,0.043307467449799616,-0.17726776311622364,-0.007502490713009152,-4,log_questions,4
-64,-0.10050507764082427,0.04453248364867576,-0.18778874559222875,-0.013221409689419789,-4,log_questions,4
-60,-0.06460270791598445,0.04026899295580762,-0.14352993410936737,0.014324518277398474,-4,log_questions,4
-56,-0.05729928639628901,0.04321402438307147,-0.1419987741871091,0.027400201394531067,-4,log_questions,4
-52,-0.06711726307731335,0.04552973292614096,-0.1563555396125496,0.02212101345792293,-4,log_questions,4
-48,-0.10847403642631222,0.03580265918568298,-0.17864724843025087,-0.03830082442237358,-4,log_questions,4
-44,-0.0718306146082562,0.030700544377227947,-0.13200368158762296,-0.011657547628889424,-4,log_questions,4
-40,-0.06637111111875008,0.030050662222411772,-0.12527040907467715,-0.007471813162823006,-4,log_questions,4
-36,-0.05024001972286819,0.030459847546653145,-0.10994132091430836,0.009461281468571968,-4,log_questions,4
-32,-0.05989110938103857,0.039647184767636574,-0.13759959152560625,0.01781737276352912,-4,log_questions,4
-28,-0.105919334171068,0.04174367384769853,-0.1877369349125571,-0.024101733429578873,-4,log_questions,4
-24,-0.09400789112210489,0.03567247920319701,-0.16392595036037103,-0.024089831883838758,-4,log_questions,4
-20,-0.084042096189612,0.029375439806478262,-0.1416179582103094,-0.02646623416891461,-4,log_questions,4
-16,-0.08144083157630425,0.03665674352324844,-0.1532880488818712,-0.009593614270737294,-4,log_questions,4
-12,-0.05180731205154405,0.02032309219131148,-0.09164057274651455,-0.011974051356573548,-4,log_questions,4
-8,-0.015860506546115306,0.018131444324552045,-0.05139813742223731,0.019677124330006703,-4,log_questions,4
0,-0.050314178856982195,0.016199393341271066,-0.08206498980587348,-0.018563367908090905,-4,log_questions,4
4,-0.10809269709086176,0.0246812018040379,-0.15646785262677604,-0.05971754155494748,-4,log_questions,4
8,-0.13702813929947089,0.03258634965150994,-0.20089738461643036,-0.07315889398251141,-4,log_questions,4
12,-0.15760019033600625,0.03406341023818858,-0.22436447440285587,-0.09083590626915664,-4,log_questions,4
16,-0.19592502143123974,0.045760394966085,-0.28561539556476634,-0.10623464729771315,-4,log_questions,4
20,-0.24774741212095852,0.050189604628358156,-0.3461190371925405,-0.14937578704937654,-4,log_questions,4
24,-0.267783241112611,0.048963069251618044,-0.36375085684578234,-0.17181562537943962,-4,log_questions,4
28,-0.32216760988787474,0.04385723140176844,-0.4081277834353409,-0.23620743634040858,-4,log_questions,4
32,-0.3253359120638911,0.0510731681008994,-0.4254393215416539,-0.2252325025861283,-4,log_questions,4
36,-0.346782303482906,0.054941662749023665,-0.4544679624709924,-0.23909664449481963,-4,log_questions,4
40,-0.3505306163112001,0.05378520221274468,-0.4559496126481797,-0.2451116199742205,-4,log_questions,4
44,-0.3778395906092572,0.05403272435079334,-0.48374373033681217,-0.27193545088170223,-4,log_questions,4
48,-0.40813563758091126,0.050162240562736916,-0.5064536290838756,-0.30981764607794693,-4,log_questions,4
52,-0.4219751280539286,0.05585756054072008,-0.53145594671374,-0.31249430939411726,-4,log_questions,4
56,-0.4235568056767936,0.059520459724773156,-0.540216906737349,-0.3068967046162382,-4,log_questions,4
60,-0.40387822387474653,0.06011336332351023,-0.5217004159888265,-0.2860560317606665,-4,log_questions,4
64,-0.4300016256911557,0.06172007598535087,-0.5509729746224434,-0.309030276759868,-4,log_questions,4
68,-0.44395625931661453,0.06080291463368518,-0.5631299719986375,-0.3247825466345916,-4,log_questions,4
72,-0.4373761083267137,0.06696764530796617,-0.5686326931303274,-0.3061195235231,-4,log_questions,4
76,-0.5081535753462143,0.07687517406377997,-0.6588289165112231,-0.35747823418120556,-4,log_questions,4
80,-0.4777309722206686,0.06836286511394137,-0.6117221878439937,-0.34373975659734357,-4,log_questions,4
84,-0.48013217680241926,0.07846795250671434,-0.6339293637155794,-0.32633498988925913,-4,log_questions,4
88,-0.4916336277491735,0.0763656883581684,-0.6413103769311836,-0.34195687856716345,-4,log_questions,4
92,-0.5519948997841642,0.07640606423870122,-0.7017507856920185,-0.4022390138763098,-4,log_questions,4
96,-0.5549575738059571,0.08186731841906955,-0.7154175179073334,-0.3944976297045808,-4,log_questions,4
100,-0.5646951855439769,0.07572914894154509,-0.7131243174694053,-0.4162660536185485,-4,log_questions,4
104,-0.5098583580625392,0.09395860224786197,-0.6940172184683486,-0.3256994976567298,-4,log_questions,4
