tag,outcome,pretrend_slope,pretrend_p_value,n_weeks,ai_answerability_zscore
.net,log_questions,-0.0012063035486380362,1.789905342590103e-20,257,-0.5701966552086524
.net,log_answers,-0.0020536647647838666,7.630740519797881e-39,257,-0.5701966552086524
.net,code_share,0.00010448413880350473,5.214645635482818e-06,257,-0.5701966552086524
.net,short_code_share,-0.00012446645105991945,3.756634109256961e-08,257,-0.5701966552086524
.net-core,log_questions,-0.0009871011182701643,6.172809960061037e-05,257,-0.5595052448501922
.net-core,log_answers,-0.002329014457997917,1.538808849333536e-17,257,-0.5595052448501922
.net-core,code_share,0.0002584109408115989,1.7679688682804812e-15,257,-0.5595052448501922
.net-core,short_code_share,-7.006184315497843e-05,0.0071882160688254565,257,-0.5595052448501922
ajax,log_questions,-0.006189611381266208,8.510453082262762e-141,257,-0.7736792378103795
ajax,log_answers,-0.007572467058496669,2.376919794244715e-154,257,-0.7736792378103795
ajax,code_share,-1.8975412892543745e-07,0.99164427448732,257,-0.7736792378103795
ajax,short_code_share,-0.00012907656842100923,7.984614072081253e-12,257,-0.7736792378103795
algorithm,log_questions,-0.0008636340738973608,3.998025128478683e-09,257,-0.3987629610195847
algorithm,log_answers,-0.0018613760385649094,2.8165886913913697e-32,257,-0.3987629610195847
algorithm,code_share,0.0001940118197231873,5.946606473581569e-08,257,-0.3987629610195847
algorithm,short_code_share,-9.737485938534845e-05,0.0004907737218692626,257,-0.3987629610195847
amazon-web-services,log_questions,0.0004212932235502082,0.0006371684318397014,257,-0.4304247037345853
amazon-web-services,log_answers,-0.0010375017241148628,2.1732085544595514e-12,257,-0.4304247037345853
amazon-web-services,code_share,0.0002875144892833911,4.818018764698718e-26,257,-0.4304247037345853
amazon-web-services,short_code_share,-4.25108779557415e-05,0.004599900963433039,257,-0.4304247037345853
android,log_questions,-0.004436482915502415,7.391170826230052e-161,257,-0.3060339294090371
android,log_answers,-0.005598748512983425,1.896552665397114e-170,257,-0.3060339294090371
android,code_share,-0.00013809564055043778,2.3692831284671047e-18,257,-0.3060339294090371
android,short_code_share,-3.907980829165924e-05,5.7400908684773876e-06,257,-0.3060339294090371
android-studio,log_questions,-0.0007778772495630093,0.013278582575626283,257,-0.5617977138052218
android-studio,log_answers,-0.002067732774071799,9.362432976740013e-10,257,-0.5617977138052218
android-studio,code_share,7.842937426107075e-05,0.16761119322232038,257,-0.5617977138052218
android-studio,short_code_share,-5.854427157601617e-05,0.01465714261306009,257,-0.5617977138052218
angular,log_questions,-0.004526712804398712,9.492546184127024e-120,257,0.1137624514570828
