outcome,term,estimate,std_error,t_stat,p_value,n_obs,r2_within
log_posts,ai_x_post,-0.18320221646788332,0.04866261162861719,-3.764742794037527,0.00016687407838889,62661,0.010236256849821435
log_posts,ai_x_post_x_new,-0.08974642452676183,0.08154681730970571,-1.1005509164865985,0.27109642372334974,62661,0.010236256849821435
log_posts,ai_x_post_x_lowrep,0.03871995149614685,0.08153442039030517,0.47489086585511353,0.6348664322716115,62661,0.010236256849821435
log_questions,ai_x_post,-0.1732347249668761,0.054115997599816036,-3.2011740086163543,0.0013693771257021758,62661,0.007994642941025254
log_questions,ai_x_post_x_new,-0.08868100428793348,0.08599264756446832,-1.0312626346508253,0.30242169167554867,62661,0.007994642941025254
log_questions,ai_x_post_x_lowrep,0.02551714817655864,0.0859932320748577,0.2967343773559503,0.7666703014952254,62661,0.007994642941025254
log_answers,ai_x_post,-0.19868020770672573,0.04588314693976319,-4.330134721743459,1.4925126172515846e-05,62661,0.010674496548142676
log_answers,ai_x_post_x_new,-0.08954984230349247,0.08005499227536514,-1.1186040964874233,0.2633134018699119,62661,0.010674496548142676
log_answers,ai_x_post_x_lowrep,0.07593556947653926,0.08001722928897567,0.9489902381186452,0.34262926985644704,62661,0.010674496548142676
log_unique_users,ai_x_post,-0.14949284352123451,0.04868964054338653,-3.0703213630838766,0.002139208452420993,62661,0.009648097083131413
log_unique_users,ai_x_post_x_new,-0.08067978945848502,0.07725287351168751,-1.044359721406079,0.29632305670585346,62661,0.009648097083131413
log_unique_users,ai_x_post_x_lowrep,0.004273686768078021,0.07724894417300356,0.055323562203087824,0.9558808689558638,62661,0.009648097083131413
