question_type,is_substitutable,outcome,label,n_cells,beta,se,p,ci_low,ci_high,n_obs
short_code,1,questions_count,Questions,25911,-0.2311620078437559,0.03650697190210161,7.1325056971716094e-09,-0.30359976034299496,-0.15872425534451684,25911
short_code,1,answered_questions,Answered,25911,-0.2303866869545915,0.03626546657674532,6.480015857235344e-09,-0.3023452404933602,-0.15842813341582276,25911
short_code,1,accepted_answer_questions,Accepted answer,25911,-0.2736908882812502,0.035578558475528925,1.0867085009635957e-11,-0.3442864671214033,-0.2030953094410971,25911
short_code,1,accepted_nonclosed_questions,"Accepted, not closed",25911,-0.2825548762619077,0.03635240486033886,7.34146077263631e-12,-0.3546859342167245,-0.21042381830709084,25911
short_code,1,accepted_nonnegative_questions,"Accepted, score >= 0",25911,-0.2799070863287945,0.0365711753652176,1.3138157228809177e-11,-0.3524722324278989,-0.20734194022969016,25911
short_code,1,reusable_artifacts,Reusable artifact,25911,-0.2863382219551682,0.037038953918893294,9.015899138375971e-12,-0.35983154219006447,-0.21284490172027198,25911
how_to,1,questions_count,Questions,25990,-0.18850554284712828,0.049348946769271804,0.00023311045897589366,-0.2864245595696532,-0.09058652612460338,25990
how_to,1,answered_questions,Answered,25990,-0.17967506849585105,0.04916006619168456,0.00041392594885003575,-0.2772193051745019,-0.08213083181720018,25990
how_to,1,accepted_answer_questions,Accepted answer,25990,-0.20901270236498518,0.04430774502889234,7.851599479913318e-06,-0.2969288811378822,-0.12109652359208815,25990
how_to,1,accepted_nonclosed_questions,"Accepted, not closed",25990,-0.2137920885297985,0.04399223238053268,4.4139313717384e-06,-0.30108222175738036,-0.12650195530221664,25990
how_to,1,accepted_nonnegative_questions,"Accepted, score >= 0",25990,-0.20645808921006054,0.04317654407374168,6.058468946523732e-06,-0.29212971987209685,-0.12078645854802421,25990
how_to,1,reusable_artifacts,Reusable artifact,25990,-0.20870606777616088,0.042819692090513464,4.163874218532371e-06,-0.29366962668386853,-0.1237425088684532,25990
long_code,1,questions_count,Questions,26073,-0.14929598926437676,0.04705656796267497,0.002011979024533428,-0.2426664290993948,-0.05592554942935875,26073
long_code,1,answered_questions,Answered,26073,-0.13153754627195627,0.04718542283955184,0.006365719652031698,-0.22516366213796796,-0.03791143040594458,26073
long_code,1,accepted_answer_questions,Accepted answer,26073,-0.1398509387230681,0.047125709374657654,0.0037633537654089277,-0.2333585701197988,-0.04634330732633743,26073
long_code,1,accepted_nonclosed_questions,"Accepted, not closed",26073,-0.147207836430363,0.04708426569672718,0.0023226699020399977,-0.24063323457880798,-0.053782438281918046,26073
long_code,1,accepted_nonnegative_questions,"Accepted, score >= 0",26073,-0.14003774611726308,0.04674967321070606,0.0034621963731011896,-0.23279924018307147,-0.04727625205145468,26073
long_code,1,reusable_artifacts,Reusable artifact,26073,-0.14478139246658772,0.046891235482468464,0.0026179697837649396,-0.23782377679173217,-0.05173900814144328,26073
debugging_simple,1,questions_count,Questions,25458,-0.10236009380739725,0.03771010219159887,0.007833874488554438,-0.17718511782202384,-0.027535069792770636,25458
