tag,questions_2024,questions_2025,pct_change_2024_2025,rank_2024,rank_2025,suspicious_flag
.net,6241,1719,-0.7245633712546067,21,24,
.net-core,1697,419,-0.7530936947554508,74,73,
ajax,701,121,-0.8273894436519258,100,100,
algorithm,1740,404,-0.767816091954023,72,75,
amazon-web-services,5310,1158,-0.7819209039548023,28,32,
android,14233,4461,-0.6865734560528349,6,6,
android-studio,1491,477,-0.6800804828973843,80,67,
angular,8175,2075,-0.746177370030581,16,18,
apache-spark,1643,437,-0.7340231284236154,75,70,
arrays,3232,685,-0.7880569306930693,46,50,
asp.net,2019,379,-0.8122833085685983,65,78,
asp.net-core,4365,1140,-0.738831615120275,34,34,
asp.net-mvc,897,148,-0.835005574136009,96,97,
azure,7960,2305,-0.710427135678392,17,14,
bash,2054,558,-0.7283349561830574,64,59,
c,6525,2135,-0.6727969348659004,20,16,
c#,20979,5841,-0.7215787215787216,3,3,
c++,12558,4620,-0.6321070234113713,7,5,
css,10093,2756,-0.7269394629941544,12,12,
csv,1008,225,-0.7767857142857143,94,93,
dart,4321,989,-0.7711177968062949,35,38,
database,2187,423,-0.8065843621399177,61,71,
dataframe,4027,797,-0.8020859200397318,38,46,
dictionary,794,146,-0.8161209068010076,97,98,
django,4866,965,-0.801685162351007,31,39,
docker,6165,917,-0.851257096512571,22,42,
excel,6906,1874,-0.7286417607877208,19,22,
express,2159,349,-0.8383510884668828,62,79,
firebase,3442,786,-0.7716443927948867,44,47,
flask,1719,328,-0.8091913903432228,73,83,
flutter,11305,3020,-0.7328615656789031,10,9,
for-loop,782,146,-0.8132992327365729,99,98,
function,1377,265,-0.8075526506899056,85,87,
ggplot2,2234,584,-0.738585496866607,59,56,
git,2922,902,-0.6913073237508556,49,43,
go,2625,638,-0.7569523809523809,53,51,
google-apps-script,1970,468,-0.7624365482233503,66,68,
google-cloud-firestore,1343,230,-0.8287416232315711,88,92,
google-cloud-platform,2561,700,-0.726669269816478,55,49,
google-sheets,2752,610,-0.778343023255814,51,55,
html,12284,2958,-0.7591989579941387,8,10,
ios,5640,2516,-0.5539007092198581,27,13,
java,18391,5615,-0.6946876189440487,4,4,
javascript,29547,6079,-0.7942599925542356,2,2,
jquery,2233,395,-0.8231079265562025,60,76,
json,4246,874,-0.7941592086669806,36,44,
keras,792,154,-0.8055555555555556,98,96,
kotlin,5763,1673,-0.7096998091271907,25,25,
kubernetes,1919,421,-0.7806149035956227,68,72,
laravel,4773,1146,-0.759899434318039,32,33,
linux,3048,935,-0.693241469816273,47,41,
list,1353,245,-0.8189209164818921,87,91,
loops,1034,178,-0.8278529980657641,92,95,
machine-learning,1503,339,-0.7744510978043913,79,81,
macos,1951,818,-0.5807278318810867,67,45,
matplotlib,1801,445,-0.7529150471960022,71,69,
mongodb,2617,486,-0.8142911730989683,54,66,
multithreading,1594,551,-0.6543287327478042,77,60,
mysql,3489,511,-0.8535396961880195,43,64,
node.js,9327,2008,-0.7847110539294522,13,19,
numpy,2269,560,-0.753195240193918,58,58,
opencv,1023,187,-0.8172043010752689,93,94,
oracle-database,2387,550,-0.7695852534562212,56,61,
pandas,5796,1041,-0.8203933747412008,23,37,
php,9177,2119,-0.7690966546801787,14,17,
postgresql,5780,1485,-0.7430795847750865,24,27,
powershell,3842,1105,-0.7123893805309734,42,35,
python,51730,13296,-0.7429731297119659,1,1,
python-3.x,5177,948,-0.8168823643036508,29,40,
r,12147,3216,-0.7352432699431959,9,7,
react-native,4948,1800,-0.6362166531932094,30,23,
reactjs,16621,3177,-0.8088562661693038,5,8,
regex,1851,492,-0.7341977309562399,69,65,
rest,1065,347,-0.6741784037558686,90,80,
ruby,1114,281,-0.7477558348294434,89,86,
ruby-on-rails,1629,412,-0.7470841006752609,76,74,
scala,903,251,-0.7220376522702104,95,89,
selenium,2690,618,-0.7702602230483271,52,54,
shell,1037,249,-0.759884281581485,91,90,
spring,4015,1248,-0.6891656288916563,39,31,
spring-boot,7063,2198,-0.688800792864222,18,15,
sql,8316,1898,-0.7717652717652718,15,21,
sql-server,3918,1095,-0.72052067381317,41,36,
string,1432,319,-0.7772346368715084,83,84,
swift,5699,1926,-0.6620459729777154,26,20,
swiftui,4101,1518,-0.6298463789319678,37,26,
tensorflow,1487,337,-0.773369199731002,81,82,
tkinter,1475,311,-0.7891525423728813,82,85,
typescript,11120,2936,-0.7359712230215827,11,11,
unity-game-engine,2368,568,-0.7601351351351351,57,57,
vba,4419,1249,-0.717356868069699,33,30,
visual-studio,2113,708,-0.664931377188831,63,48,
visual-studio-code,3934,1402,-0.6436197254702593,40,28,
vue.js,3017,638,-0.7885316539608883,48,51,
web-scraping,1414,265,-0.8125884016973126,84,87,
windows,3352,1280,-0.6181384248210023,45,29,
wordpress,2802,621,-0.778372591006424,50,53,
wpf,1366,384,-0.718887262079063,86,77,
xcode,1518,546,-0.6403162055335968,78,62,
xml,1845,518,-0.7192411924119241,70,63,
